District Id,Time Id,Dose 1,Dose 2
TN_Tirupathur,Overall,297524,65492
TN_Tiruppur,Overall,861958,158728
TN_Tiruvannamalai,Overall,260211,33940
TN_Tiruvannamalai,Overall,260211,33940
TN_Vellore,Overall,426952,129674
TN_Viluppuram,Overall,469020,78436
TN_Virudhunagar,Overall,351488,73901
TN_Virudhunagar,Overall,351488,73901
TR_Dhalai,Overall,252360,64812
TR_Gomati,Overall,273755,78788
TR_Khowai,Overall,192006,59688
TR_North Tripura,Overall,275630,89625
TR_Sipahijala,Overall,325581,106269
TR_South Tripura,Overall,297868,108738
TR_Unokoti,Overall,169273,48797
TR_West Tripura,Overall,661742,296988
UP_Agra,Overall,1286013,260093
UP_Aligarh,Overall,879332,170904
UP_Ambedkar Nagar,Overall,580644,86340
UP_Amethi,Overall,550131,111616
UP_Amroha,Overall,455001,74104
UP_Auraiya,Overall,345758,53685
UP_Ayodhya,Overall,625641,128420
UP_Azamgarh,Overall,1177519,183313
UP_Baghpat,Overall,500558,98539
UP_Bahraich,Overall,1021948,140679
UP_Ballia,Overall,638406,126359
UP_Balrampur,Overall,611261,120162
UP_Banda,Overall,472067,56921
UP_Barabanki,Overall,854277,107893
UP_Bareilly,Overall,1192706,255022
UP_Basti,Overall,738872,112692
UP_Bhadohi,Overall,433128,71319
UP_Bijnor,Overall,984633,168028
UP_Budaun,Overall,621136,107447
UP_Bulandshahr,Overall,1114289,182415
UP_Chandauli,Overall,476438,64521
UP_Chitrakoot,Overall,290019,26239
UP_Deoria,Overall,735041,144888
UP_Etah,Overall,404094,57294
UP_Etawah,Overall,406155,67567
UP_Farrukhabad,Overall,438026,70242
UP_Fatehpur,Overall,665016,109878
UP_Firozabad,Overall,595640,97324
UP_Gautam Buddha Nagar,Overall,1495549,417904
UP_Ghaziabad,Overall,1466567,360176
UP_Ghazipur,Overall,966449,124321
UP_Gonda,Overall,1082516,148675
UP_Gorakhpur,Overall,1361724,290432
UP_Hamirpur,Overall,345661,54483
UP_Hapur,Overall,405147,78941
UP_Hardoi,Overall,971147,111004
UP_Hathras,Overall,435250,74745
UP_Jalaun,Overall,474672,71515
UP_Jaunpur,Overall,1111143,200376
UP_Jhansi,Overall,627082,131279
UP_Kannauj,Overall,425012,43082
UP_Kanpur Dehat,Overall,450616,63506
UP_Kanpur Nagar,Overall,1239842,326605
UP_Kasganj,Overall,330678,46221
UP_Kaushambi,Overall,343150,61376
UP_Kushinagar,Overall,806471,150997
UP_Lakhimpur Kheri,Overall,847126,103259
UP_Lalitpur,Overall,328169,36628
UP_Lucknow,Overall,1821070,619293
UP_Maharajganj,Overall,606907,104819
UP_Mahoba,Overall,326319,53494
UP_Mainpuri,Overall,426889,60834
UP_Mathura,Overall,767841,163766
UP_Mau,Overall,512224,98849
UP_Meerut,Overall,1269575,351841
UP_Mirzapur,Overall,778257,118334
UP_Moradabad,Overall,754927,172662
UP_Muzaffarnagar,Overall,774105,134968
UP_Pilibhit,Overall,536770,95175
UP_Pratapgarh,Overall,696692,114109
UP_Prayagraj,Overall,1266960,321929
UP_Rae Bareli,Overall,588609,85959
UP_Rampur,Overall,470935,86935
